filename,test_id,test_name,final_tpm,final_nopm,num_timesteps,tpm_values
tpcc_vu50_wh20_mc500_bp2G_lb64_run3.log,4,Max CPU,123942,53373,32,"[0, 68892, 116586, 135102, 129240, 132570, 123612, 122148, 136740, 134802, 129030, 133410, 141792, 119520, 119604, 123702, 126072, 119616, 127038, 126834, 127782, 125130, 121386, 131166, 139398, 116904, 115638, 130446, 111732, 127230, 125508, 111408]"
tpcc_vu10_wh10_mc200_bp512M_lb16_run5.log,2,Medium,89365,38435,31,"[0, 100824, 100566, 85638, 86058, 87642, 84954, 84960, 88152, 80532, 84582, 79524, 91776, 86346, 79614, 87948, 73086, 86340, 91998, 89166, 88182, 93162, 92712, 89628, 94314, 92496, 91398, 94860, 94164, 93936, 91716]"
tpcc_vu10_wh10_mc200_bp512M_lb16_run4.log,2,Medium,101887,43851,31,"[0, 103896, 113178, 107502, 101952, 98124, 103386, 105630, 98172, 105660, 97602, 98262, 104388, 101298, 101094, 100206, 101724, 98784, 102606, 103266, 103500, 100002, 102510, 97842, 104436, 105534, 96366, 106062, 105984, 99546, 107406]"
tpcc_vu50_wh20_mc500_bp2G_lb64_run2.log,4,Max CPU,122622,52838,32,"[0, 72912, 116640, 133242, 117066, 128256, 129408, 121188, 124494, 123348, 122418, 120852, 121122, 126840, 123390, 124458, 119688, 122898, 119646, 122208, 118836, 122070, 123816, 122358, 118278, 121932, 136230, 123756, 120564, 128274, 113718, 124800]"
tpcc_vu5_wh5_mc100_bp256M_lb8_run1.log,1,Small,93564,40289,31,"[0, 92088, 109458, 103554, 93336, 94902, 89946, 93054, 95250, 90654, 94440, 94932, 90780, 94536, 93180, 91050, 90888, 95562, 90192, 103260, 109710, 98826, 93774, 88740, 85650, 93966, 91410, 93612, 91728, 95394, 84768]"
tpcc_vu5_wh5_mc100_bp256M_lb8_run3.log,1,Small,91181,39260,31,"[0, 88914, 91014, 89532, 92946, 90444, 88188, 91686, 92604, 87768, 92130, 94806, 77628, 91578, 92838, 85320, 92004, 91140, 89046, 91788, 95952, 81360, 95520, 93282, 89880, 92814, 93750, 89982, 89532, 93732, 92274]"
tpcc_vu50_wh20_mc500_bp2G_lb64_run1.log,4,Max CPU,125544,54138,31,"[0, 61794, 118050, 130500, 128244, 125496, 119028, 116730, 124242, 132504, 125142, 127086, 125532, 121062, 124278, 128802, 128166, 119418, 125124, 114324, 119610, 122358, 139368, 128826, 118230, 121266, 132222, 129546, 133776, 119832, 135930]"
tpcc_vu5_wh5_mc100_bp256M_lb8_run2.log,1,Small,107780,46267,31,"[0, 96270, 115920, 106926, 105594, 105180, 97788, 104058, 106272, 107964, 109818, 111564, 106530, 109428, 110544, 105786, 108780, 108186, 105540, 108576, 112560, 105966, 107346, 109182, 106236, 107274, 108336, 106482, 106386, 110514, 104784]"
tpcc_vu50_wh20_mc500_bp2G_lb64_run5.log,4,Max CPU,117845,50713,32,"[0, 70146, 123840, 114432, 121170, 114540, 122556, 126396, 128328, 122460, 112584, 121428, 116412, 120510, 120054, 117360, 104574, 122538, 113604, 126600, 126306, 111324, 114810, 116166, 123720, 116700, 112872, 121218, 114234, 122712, 118788, 112422]"
tpcc_vu10_wh10_mc200_bp512M_lb16_run3.log,2,Medium,97097,41738,31,"[0, 81882, 90714, 117876, 91020, 89136, 98148, 97590, 98220, 90990, 102294, 95730, 94428, 99372, 99588, 93756, 101232, 97512, 97032, 101130, 95532, 98334, 97764, 90816, 102846, 96084, 88572, 94818, 98346, 98838, 100866]"
tpcc_vu10_wh10_mc200_bp512M_lb16_run2.log,2,Medium,90951,39024,31,"[0, 102942, 89106, 93348, 90132, 89736, 92946, 92658, 83202, 87906, 91506, 88422, 91140, 92394, 90636, 93504, 86730, 87552, 90438, 94296, 91638, 90558, 88848, 90078, 91488, 89826, 94704, 92712, 90360, 92190, 90966]"
tpcc_vu50_wh20_mc500_bp2G_lb64_run4.log,4,Max CPU,118588,51171,32,"[0, 73260, 106224, 136410, 126528, 116946, 126198, 117486, 113874, 129174, 131118, 111534, 122724, 132918, 108600, 107628, 121770, 114396, 123900, 130986, 115206, 124932, 131886, 117738, 114060, 117918, 121326, 113982, 118284, 114294, 107598, 106374]"
tpcc_vu5_wh5_mc100_bp256M_lb8_run5.log,1,Small,120187,51525,31,"[0, 108756, 122424, 121272, 122142, 123522, 119754, 116028, 118308, 117918, 112866, 120348, 122472, 124626, 123930, 119892, 118530, 120708, 120156, 117168, 118362, 120480, 113166, 120966, 120072, 124818, 123366, 121614, 117948, 118842, 120816]"
tpcc_vu10_wh10_mc200_bp512M_lb16_run1.log,2,Medium,94899,40891,31,"[0, 109902, 130860, 107820, 107004, 88134, 108504, 97866, 81174, 100284, 97158, 95094, 98190, 89430, 90132, 96768, 93708, 88776, 95004, 86496, 91686, 93246, 93282, 103014, 130014, 115776, 80790, 87618, 91380, 88986, 95208]"
tpcc_vu5_wh5_mc100_bp256M_lb8_run4.log,1,Small,103131,44387,31,"[0, 89472, 110238, 105354, 105264, 111486, 107838, 107004, 104244, 106500, 108174, 98700, 103932, 108060, 106794, 100146, 109356, 104124, 101304, 105480, 104322, 101400, 96774, 103200, 103566, 100968, 101664, 101622, 101772, 102240, 104688]"
tpcc_vu20_wh20_mc500_bp1G_lb32_run2.log,3,Large,107254,46099,31,"[0, 112638, 133710, 110754, 112524, 122982, 121992, 121326, 111444, 100728, 110844, 115152, 98238, 116316, 95610, 124116, 103422, 108360, 95532, 110100, 97896, 112266, 103422, 105762, 107598, 106560, 106182, 107520, 106158, 112110, 114060]"
tpcc_vu20_wh5_mc200_bp256M_lb8_run1.log,5,I/O Test,96458,41501,31,"[0, 104532, 117462, 110232, 101988, 113574, 96330, 94578, 88476, 105600, 105684, 97266, 100908, 99102, 95946, 110772, 105084, 92388, 94158, 91260, 83454, 95442, 102246, 92454, 93246, 92670, 94452, 101208, 110148, 92844, 93030]"
tpcc_vu10_wh10_mc200_bp2G_lb64_run3.log,6,Memory,112883,48572,31,"[0, 117744, 124992, 112848, 102258, 116970, 115026, 114828, 111780, 114702, 113418, 119328, 113754, 110058, 115626, 119586, 106698, 115848, 114258, 110694, 112464, 122694, 108408, 117768, 112932, 110130, 109578, 116460, 106806, 108684, 115968]"
tpcc_vu100_wh50_mc1000_bp4G_lb128_run1.log,8,Stress,109246,46828,32,"[0, 56118, 98550, 114132, 104502, 112974, 109926, 99612, 114546, 106866, 110730, 115956, 112266, 100824, 109518, 111744, 99516, 117012, 114618, 104640, 109512, 113262, 107190, 112332, 116796, 109266, 107952, 112650, 92478, 115074, 111906, 112578]"
tpcc_vu10_wh10_mc200_bp2G_lb64_run2.log,6,Memory,113959,49160,31,"[0, 112344, 112218, 108000, 114108, 107142, 111708, 116802, 119064, 106272, 112914, 111924, 110430, 108822, 117138, 103842, 110676, 112722, 104136, 117438, 112740, 111060, 121002, 109014, 122574, 132612, 127572, 114384, 115170, 107130, 107358]"
tpcc_vu20_wh20_mc500_bp1G_lb32_run3.log,3,Large,99266,42694,31,"[0, 113796, 107406, 101556, 97362, 97686, 101796, 104232, 80202, 109686, 91416, 98946, 100074, 95430, 100674, 102876, 93522, 102750, 104820, 99066, 100044, 98814, 95358, 98232, 105510, 100620, 88200, 103908, 101478, 105126, 92988]"
tpcc_vu20_wh20_mc500_bp1G_lb32_run1.log,3,Large,108392,46654,31,"[0, 114924, 122616, 118122, 112482, 100302, 114444, 99642, 114996, 108234, 98070, 105108, 103578, 117654, 108708, 107712, 109704, 106836, 103842, 101796, 113172, 95646, 108576, 120120, 108150, 110826, 103176, 124278, 103386, 111882, 100506]"
tpcc_vu20_wh5_mc200_bp256M_lb8_run2.log,5,I/O Test,95219,41042,31,"[0, 113430, 107394, 99402, 94230, 109440, 89670, 83340, 103086, 89652, 90360, 91104, 102072, 87954, 90714, 99552, 96696, 97368, 102108, 86670, 90690, 111618, 86400, 103986, 101562, 98196, 96072, 100530, 83100, 97626, 85278]"
tpcc_vu100_wh50_mc1000_bp4G_lb128_run2.log,8,Stress,108817,46919,33,"[0, 61848, 123372, 119172, 108726, 124332, 121842, 109062, 110160, 112884, 110760, 108972, 110256, 109404, 107430, 109050, 101058, 109830, 107424, 103920, 110544, 112416, 103920, 108756, 111144, 109272, 113646, 113826, 105924, 111996, 110358, 97830, 107862]"
tpcc_vu100_wh50_mc1000_bp4G_lb128_run3.log,8,Stress,107529,46360,32,"[0, 70452, 107334, 111810, 120390, 119130, 123420, 116916, 114930, 122946, 116052, 104244, 107148, 109200, 110094, 99984, 108984, 107388, 104880, 108810, 109152, 103968, 108444, 109938, 108432, 111054, 107094, 106638, 107262, 109770, 106014, 112596]"
tpcc_vu10_wh10_mc200_bp2G_lb64_run1.log,6,Memory,118100,50771,31,"[0, 116322, 142668, 134010, 117222, 115404, 114354, 117828, 117474, 119526, 114552, 118578, 103380, 113160, 120180, 113058, 135210, 139524, 117072, 116430, 117864, 117126, 119748, 119298, 110574, 118572, 117180, 116112, 109380, 117678, 110016]"
tpcc_vu20_wh5_mc200_bp256M_lb8_run3.log,5,I/O Test,104134,44849,31,"[0, 114342, 136080, 108870, 111336, 100530, 95802, 115668, 110034, 97878, 110604, 113280, 96186, 98268, 108378, 99282, 111180, 98208, 99054, 104100, 105330, 120174, 108090, 94146, 109980, 94980, 110076, 107448, 109554, 100620, 97416]"
tpcc_vu20_wh20_mc500_bp1G_lb32_run4.log,3,Large,113424,48776,31,"[0, 108420, 134604, 140886, 110478, 134928, 128988, 110550, 122250, 136716, 135774, 128016, 120750, 124044, 119808, 131826, 87438, 145584, 113904, 117996, 114798, 119106, 129882, 117984, 85608, 74784, 104814, 107004, 118428, 112302, 116700]"
tpcc_vu10_wh10_mc200_bp2G_lb64_run5.log,6,Memory,113119,48864,31,"[0, 106830, 126462, 116748, 113856, 116754, 115974, 114810, 111468, 118116, 110934, 119274, 119268, 118170, 114948, 109134, 116142, 111858, 118914, 112410, 117432, 114948, 115392, 115734, 121914, 113088, 113460, 115638, 112902, 110724, 83448]"
tpcc_vu10_wh10_mc200_bp2G_lb64_run4.log,6,Memory,106163,45863,31,"[0, 108024, 124626, 105216, 103770, 111756, 106404, 105564, 109056, 102762, 108744, 107616, 112566, 96006, 108210, 109590, 99732, 110676, 109962, 106050, 103116, 101154, 101052, 109446, 109386, 107646, 110508, 108492, 104814, 111600, 106512]"
tpcc_vu20_wh20_mc500_bp1G_lb32_run5.log,3,Large,124666,53554,31,"[0, 120906, 137838, 132702, 138132, 124572, 134112, 119352, 141150, 136230, 133350, 132684, 128262, 125388, 124152, 131616, 85848, 121128, 131316, 116814, 140634, 120096, 124392, 134250, 134448, 130710, 115818, 135186, 137322, 127722, 109554]"
tpcc_vu20_wh5_mc200_bp256M_lb8_run4.log,5,I/O Test,89498,38482,31,"[0, 114210, 105588, 91272, 81942, 90624, 79584, 98226, 90408, 60366, 95808, 83910, 88800, 88014, 84756, 89466, 83802, 90858, 96084, 87738, 99654, 89694, 88500, 90984, 75576, 93792, 102252, 79116, 87474, 102942, 82038]"
tpcc_vu100_wh50_mc1000_bp4G_lb128_run4.log,8,Stress,105759,45603,33,"[0, 56610, 106974, 116196, 112194, 109356, 112326, 106044, 107568, 110004, 107394, 105432, 111540, 101124, 109626, 110790, 106962, 106962, 110448, 98250, 105582, 105510, 107034, 105102, 102930, 102720, 102588, 107682, 106638, 105498, 111018, 101556, 97272]"
tpcc_vu100_wh50_mc1000_bp4G_lb128_run5.log,8,Stress,105169,45246,32,"[0, 58578, 110460, 109926, 105846, 109320, 106392, 105894, 109956, 101688, 102246, 108408, 105156, 103902, 112026, 104760, 104598, 110676, 104514, 104406, 109410, 100572, 102930, 106740, 104658, 105582, 106836, 102006, 102798, 104388, 104136, 101004]"
tpcc_vu20_wh5_mc200_bp256M_lb8_run5.log,5,I/O Test,114030,49215,31,"[0, 112662, 153762, 124728, 116976, 115890, 119562, 118080, 103902, 109980, 119460, 114798, 120840, 125238, 119802, 113376, 120360, 124386, 117804, 114690, 117192, 116634, 111396, 103566, 124398, 103446, 116766, 101226, 122466, 115152, 85464]"
tpcc_vu5_wh20_mc100_bp128M_lb8_run5.log,7,Latency,100193,43062,31,"[0, 85440, 100080, 100284, 93138, 99828, 100254, 95262, 100086, 92940, 97656, 99972, 100116, 93234, 99984, 96942, 77004, 98268, 98604, 103386, 102462, 101580, 100230, 105786, 105654, 102204, 106506, 102198, 101382, 105738, 104646]"
tpcc_vu5_wh20_mc100_bp128M_lb8_run4.log,7,Latency,101182,43559,31,"[0, 96060, 111366, 105666, 91536, 86268, 103986, 101898, 107838, 100362, 95724, 100998, 98226, 94734, 100428, 100722, 93942, 101424, 99768, 97266, 102642, 101826, 100068, 104598, 103608, 104004, 106578, 101478, 102120, 104100, 104196]"
tpcc_vu5_wh20_mc100_bp128M_lb8_run3.log,7,Latency,103198,44456,31,"[0, 95196, 107412, 102372, 102354, 105714, 99900, 105654, 105408, 99072, 101514, 105198, 102078, 104862, 108012, 102390, 104682, 106116, 107088, 102162, 105048, 106698, 104934, 104148, 106314, 101478, 108480, 104934, 100914, 99246, 81630]"
tpcc_vu5_wh20_mc100_bp128M_lb8_run2.log,7,Latency,87330,37490,31,"[0, 66102, 97056, 93048, 77034, 85122, 79032, 90666, 89544, 87360, 89226, 86646, 81558, 88050, 90900, 86286, 90006, 84984, 82254, 91044, 87450, 88368, 87372, 86316, 84132, 91620, 89184, 86634, 86544, 87498, 85206]"
tpcc_vu5_wh20_mc100_bp128M_lb8_run1.log,7,Latency,85688,36809,31,"[0, 76374, 66912, 89400, 88590, 86070, 82440, 90816, 84150, 89658, 89076, 87642, 81714, 89436, 86286, 86328, 87246, 89196, 83172, 87114, 88524, 84234, 90654, 86394, 78816, 86742, 86790, 82662, 89418, 88512, 74082]"
